course,course_number,module_number,release_date,due_date
Business Analytics Business Analytics Sept 2015 CORe September 2015,1,1,2015-09-09,2015-09-17
Business Analytics Business Analytics Sept 2015 CORe September 2015,1,2,2015-09-15,2015-10-01
Business Analytics Business Analytics Sept 2015 CORe September 2015,1,3,2015-09-29,2015-10-15
Business Analytics Business Analytics Sept 2015 CORe September 2015,1,4,2015-10-20,2015-11-05
Business Analytics Business Analytics Sept 2015 CORe September 2015,1,5,2015-11-03,2015-11-19
Economics for Managers September 2015 CORe September 2015,2,1,2015-09-09,2015-09-24
Economics for Managers September 2015 CORe September 2015,2,2,2015-09-15,2015-10-08
Economics for Managers September 2015 CORe September 2015,2,3,2015-10-06,2015-10-22
Economics for Managers September 2015 CORe September 2015,2,4,2015-10-27,2015-11-12
Economics for Managers September 2015 CORe September 2015,2,5,2015-11-10,2015-12-03
Financial Accounting September 2015 CORe September 2015,3,1,2015-09-09,2015-09-17
Financial Accounting September 2015 CORe September 2015,3,2,2015-09-15,2015-10-01
Financial Accounting September 2015 CORe September 2015,3,3,2015-09-29,2015-10-15
Financial Accounting September 2015 CORe September 2015,3,4,2015-10-13,2015-10-29
Financial Accounting September 2015 CORe September 2015,3,5,2015-10-20,2015-11-05
Financial Accounting September 2015 CORe September 2015,3,6,2015-11-03,2015-11-19
Financial Accounting September 2015 CORe September 2015,3,7,2015-11-10,2015-12-03